Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 25.123581, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
8.177853, 25.384258, 25.001471, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 10.000000
11.450686, 25.714918, 25.006021, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 20.000000
13.856090, 26.103159, 25.014437, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
15.824290, 26.543093, 25.027340, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 40.000000
17.517857, 27.031391, 25.045275, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 50.000000
19.019188, 26.989946, 25.068739, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
20.455029, 26.949856, 25.091341, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 70.000000
21.916689, 26.911074, 25.113108, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 80.000000
23.406797, 26.873554, 25.134069, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
24.927475, 26.837255, 25.154255, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 100.000000
26.478390, 26.802135, 25.173689, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000
28.055553, 26.768154, 25.192398, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
29.651426, 26.735271, 25.210409, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 130.000000
31.254410, 26.703451, 25.227743, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 140.000000
32.850731, 26.672657, 25.244427, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
34.427143, 26.642853, 25.260479, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 160.000000
35.973259, 26.614006, 25.275925, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 170.000000
37.481937, 26.586084, 25.290783, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
38.949116, 26.559055, 25.305075, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 190.000000
40.373135, 26.532888, 25.318819, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 200.000000
41.753807, 26.507553, 25.332035, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
43.091743, 26.483023, 25.344740, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 220.000000
44.388165, 26.459270, 25.356953, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 230.000000
45.644840, 26.436268, 25.368690, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
46.863968, 26.413990, 25.379969, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 250.000000
48.048073, 26.392412, 25.390804, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 260.000000
49.199940, 26.371511, 25.401213, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
50.322456, 26.351263, 25.411207, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 280.000000
51.418423, 26.331646, 25.420803, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 290.000000
52.490559, 26.312639, 25.430014, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000
53.541706, 26.294222, 25.438854, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 310.000000
54.575005, 26.276373, 25.447336, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 320.000000
55.593891, 26.259073, 25.455471, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 330.000000
56.601913, 26.242304, 25.463272, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 340.000000
57.602421, 26.226048, 25.470751, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 350.000000
58.598270, 26.210287, 25.477917, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 360.000000
59.591629, 26.195004, 25.484783, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 370.000000
60.583740, 26.180183, 25.491358, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 380.000000
61.574924, 26.165810, 25.497654, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 390.000000
62.565121, 26.151867, 25.503679, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 400.000000
63.554230, 26.138340, 25.509443, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 410.000000
64.542274, 26.125217, 25.514956, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 420.000000
65.529778, 26.112482, 25.520224, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 430.000000
66.517136, 26.100122, 25.525257, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 440.000000
67.504723, 26.088127, 25.530066, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 450.000000
68.493225, 26.076481, 25.534655, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 460.000000
69.482994, 26.065174, 25.539032, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 470.000000
70.474251, 26.054195, 25.543207, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 480.000000
71.467285, 26.043531, 25.547186, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 490.000000
72.462433, 26.033175, 25.550974, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000
73.460037, 26.023111, 25.554579, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 510.000000
74.460587, 26.013334, 25.558006, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 520.000000
75.464584, 26.003832, 25.561264, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 530.000000
76.472473, 25.994596, 25.564358, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 540.000000
77.484688, 25.985619, 25.567293, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 550.000000
78.501534, 25.976889, 25.570074, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 560.000000
79.523300, 25.968399, 25.572708, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 570.000000
80.550354, 25.960142, 25.575199, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 580.000000
81.583199, 25.952108, 25.577553, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 590.000000
82.622520, 25.944292, 25.579773, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 600.000000
83.669205, 25.936686, 25.581865, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 610.000000
84.724518, 25.929281, 25.583834, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 620.000000
85.790550, 25.922073, 25.585684, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 630.000000
86.870651, 25.915054, 25.587420, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 640.000000
