Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.530546, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 10.000000
3.092785, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 20.000000
4.687811, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
6.316601, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 40.000000
7.980197, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 50.000000
9.679971, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
11.417960, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 70.000000
13.197064, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 80.000000
15.021158, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
16.894026, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 100.000000
18.816769, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000
20.784998, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
22.787527, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 130.000000
24.806660, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 140.000000
26.819660, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
28.802965, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 160.000000
30.736931, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 170.000000
32.607964, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
34.408592, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 190.000000
36.128654, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 200.000000
37.764675, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
39.323715, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 220.000000
40.812672, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 230.000000
42.238190, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
43.606632, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 250.000000
44.924095, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 260.000000
46.196312, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
47.428501, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 280.000000
48.625362, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 290.000000
49.791290, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000
50.930626, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 310.000000
52.047810, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 320.000000
53.147408, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 330.000000
54.233864, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 340.000000
55.311249, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 350.000000
56.382942, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 360.000000
57.451443, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 370.000000
58.518112, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 380.000000
59.583122, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 390.000000
60.646366, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 400.000000
61.708199, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 410.000000
62.769238, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 420.000000
63.829880, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 430.000000
64.891022, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 440.000000
65.953186, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 450.000000
67.016525, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 460.000000
68.081398, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 470.000000
69.148163, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 480.000000
70.217148, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 490.000000
71.288887, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000
72.363922, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 510.000000
73.442825, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 520.000000
74.526123, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 530.000000
75.614250, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 540.000000
76.707581, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 550.000000
77.806465, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 560.000000
78.911339, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 570.000000
80.023788, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 580.000000
81.146049, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 590.000000
82.280579, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 600.000000
83.431244, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 610.000000
84.603012, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 620.000000
85.801071, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 630.000000
87.030121, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 640.000000
88.293976, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 650.000000
89.595390, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 660.000000
90.936111, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 670.000000
92.316994, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 680.000000
93.738205, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 690.000000
95.199348, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 700.000000
96.699020, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 710.000000
98.233620, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 720.000000
99.796463, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 730.000000
101.378448, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 740.000000
102.970078, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 750.000000
104.563820, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 760.000000
106.156357, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 770.000000
107.750237, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 780.000000
109.346184, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 790.000000
110.943184, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 800.000000
112.538025, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 810.000000
114.127945, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 820.000000
115.711533, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 830.000000
117.288597, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 840.000000
118.859047, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 850.000000
120.422005, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 860.000000
121.975754, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 870.000000
123.517929, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 880.000000
125.046143, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 890.000000
126.558487, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 900.000000
128.053879, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 910.000000
129.532013, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 920.000000
130.993240, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 930.000000
132.438309, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 940.000000
133.868134, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 950.000000
135.284332, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 960.000000
136.688583, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 970.000000
138.081940, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 980.000000
139.465408, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 990.000000
140.839874, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1000.000000
142.206039, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1010.000000
143.564453, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1020.000000
144.915497, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1030.000000
146.259445, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1040.000000
147.596527, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1050.000000
148.926910, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1060.000000
150.250687, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1070.000000
151.567825, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1080.000000
152.878128, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1090.000000
154.181320, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1100.000000
155.477097, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1110.000000
156.765137, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1120.000000
158.045258, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1130.000000
159.317444, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1140.000000
160.584854, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1150.000000
161.854263, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1160.000000
163.134781, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1170.000000
164.438934, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1180.000000
165.782928, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1190.000000
167.187836, 25.518738, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1200.000000
168.589737, 26.058985, 25.005779, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1210.000000
169.923660, 26.616285, 25.017494, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1220.000000
171.207504, 27.187008, 25.035244, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1230.000000
172.453751, 27.768158, 25.059092, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1240.000000
173.671448, 28.151802, 25.089062, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1250.000000
174.886688, 28.728945, 25.122864, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1260.000000
176.104324, 29.179464, 25.162598, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1270.000000
177.319626, 29.752499, 25.206764, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1280.000000
178.535553, 30.216064, 25.256664, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1290.000000
179.751740, 30.782774, 25.310993, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1300.000000
180.968948, 31.281221, 25.370832, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1310.000000
182.183212, 31.818382, 25.435343, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1320.000000
183.395538, 32.220123, 25.504885, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1330.000000
184.608261, 32.088947, 25.577877, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1340.000000
185.873642, 31.961758, 25.648329, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1350.000000
187.247910, 31.838428, 25.716324, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1360.000000
188.741074, 31.718838, 25.781940, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1370.000000
190.355576, 31.602865, 25.845255, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1380.000000
192.079727, 31.490395, 25.906342, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1390.000000
193.882050, 31.381313, 25.965273, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1400.000000
195.713577, 31.275515, 26.022120, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1410.000000
197.517975, 31.172894, 26.076948, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1420.000000
199.251938, 31.073347, 26.129824, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1430.000000
200.893509, 30.976778, 26.180809, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1440.000000
202.441193, 30.883093, 26.229965, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1450.000000
203.906113, 30.792198, 26.277351, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1460.000000
205.305023, 30.704004, 26.323025, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1470.000000
206.656021, 30.618425, 26.367041, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1480.000000
207.976364, 30.535378, 26.409452, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1490.000000
209.281296, 30.454781, 26.450314, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1500.000000
210.592392, 30.376556, 26.489674, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1510.000000
211.924652, 30.300629, 26.527580, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1520.000000
213.278564, 30.226925, 26.564081, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1530.000000
214.654526, 30.155375, 26.599222, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1540.000000
216.052963, 30.085907, 26.633047, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1550.000000
217.474579, 30.018457, 26.665598, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1560.000000
218.920609, 29.952961, 26.696917, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1570.000000
